Date,High,Low,Volume,Adj Close
2006-12-18,40.63999938964844,38.86000061035156,6486700,39.2599983215332
2006-12-19,39.720001220703125,38.22999954223633,7520000,39.41999816894531
2006-12-20,40.29999923706055,39.38999938964844,7784300,40.0099983215332
2006-12-21,40.34000015258789,39.650001525878906,6550200,39.88999938964844
2006-12-22,40.5099983215332,39.90999984741211,5585100,40.2400016784668
2006-12-26,40.130001068115234,39.41999816894531,4473600,39.79999923706055
2006-12-27,40.470001220703125,39.79999923706055,3536500,40.290000915527344
2006-12-28,40.630001068115234,39.91999816894531,4545500,40.209999084472656
2006-12-29,40.25,39.34999847412109,4197000,39.459999084472656
2007-01-03,39.060001373291016,38.04999923706055,12405100,38.70000076293945
2007-01-04,39.13999938964844,38.2599983215332,6318400,38.900001525878906
2007-01-05,38.790000915527344,37.59999847412109,6619700,38.369998931884766
2007-01-08,38.310001373291016,37.16999816894531,6783000,37.5
2007-01-09,38.060001373291016,37.34000015258789,5703000,37.77999877929688
2007-01-10,37.70000076293945,37.06999969482422,6527500,37.150001525878906
2007-01-11,38.0,37.16999816894531,6465600,37.400001525878906
2007-01-12,38.209999084472656,37.27000045776367,4466400,38.20000076293945
2007-01-16,38.88999938964844,37.970001220703125,5643700,38.65999984741211
2007-01-17,39.0,37.77999877929688,5026800,37.880001068115234
2007-01-18,37.650001525878906,36.720001220703125,9105000,36.97999954223633
2007-01-19,37.47999954223633,36.59999847412109,6095900,37.02000045776367
2007-01-22,37.900001525878906,36.79999923706055,8317000,36.95000076293945
2007-01-23,37.06999969482422,36.29999923706055,5313600,36.43000030517578
2007-01-24,37.36000061035156,36.5,5271700,37.2599983215332
2007-01-25,38.22999954223633,36.77999877929688,6747600,37.08000183105469
2007-01-26,37.2599983215332,36.29999923706055,4139300,36.84999847412109
2007-01-29,37.45000076293945,36.540000915527344,7395000,37.43000030517578
2007-01-30,37.41999816894531,36.630001068115234,4813500,37.04999923706055
2007-01-31,38.18999862670898,36.7599983215332,7277500,37.66999816894531
2007-02-01,39.29999923706055,37.84999847412109,26123100,38.70000076293945
2007-02-02,37.7400016784668,36.68000030517578,25850700,37.38999938964844
2007-02-05,37.41999816894531,36.77000045776367,6110900,37.15999984741211
2007-02-06,38.40999984741211,37.08000183105469,8612700,38.27000045776367
2007-02-07,39.52000045776367,38.400001525878906,10503200,38.97999954223633
2007-02-08,39.5099983215332,38.66999816894531,5483600,39.09999847412109
2007-02-09,39.310001373291016,38.65999984741211,5960100,38.720001220703125
2007-02-12,38.9900016784668,38.36000061035156,3835700,38.84999847412109
2007-02-13,39.61000061035156,38.84999847412109,4505500,39.310001373291016
2007-02-14,40.27999877929688,39.13999938964844,6814100,40.13999938964844
2007-02-15,40.31999969482422,39.86000061035156,5088200,40.060001373291016
